description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Chipped Amethyst Stack	0			0					1	gcv							8ca																																																																																							0
Chipped Diamond Unstack	0			0	18	70	1		1	8cd							gcw																																																																																							0
Chipped Diamond Stack	0			0					1	gcw							8cd																																																																																							0
Chipped Emerald Unstack	0			0	18	70	1		1	8ce							gcg																																																																																							0
Chipped Emerald Stack	0			0					1	gcg							8ce																																																																																							0
Chipped Ruby Unstack	0			0	18	70	1		1	8cr							gcr																																																																																							0
Chipped Ruby Stack	0			0					1	gcr							8cr																																																																																							0
Chipped Saphire Unstack	0			0	18	70	1		1	8cp							gcb																																																																																							0
Chipped Saphire Stack	0			0					1	gcb							8cp																																																																																							0
Chipped Skull Unstack	0			0	18	70	1		1	8ck							skc																																																																																							0
Chipped Skull Stack	0			0					1	skc							8ck																																																																																							0
Chipped Topaz Unstack	0			0	18	70	1		1	8ct							gcy																																																																																							0
Chipped Topaz Stack	0			0					1	gcy							8ct																																																																																							0
Flawed Amethyst Unstack	0			0	18	70	1		1	8fa							gfv																																																																																							0
Flawed Amethyst Stack	0			0					1	gfv							8fa																																																																																							0
Flawed Diamond Unstack	0			0	18	70	1		1	8fd							gfw																																																																																							0
Flawed Diamond Stack	0			0					1	gfw							8fd																																																																																							0
Flawed Emerald Unstack	0			0	18	70	1		1	8fe							gfg																																																																																							0
Flawed Emerald Stack	0			0					1	gfg							8fe																																																																																							0
Flawed Ruby Unstack	0			0	18	70	1		1	8fr							gfr																																																																																							0
Flawed Ruby Stack	0			0					1	gfr							8fr																																																																																							0
Flawed Saphire Unstack	0			0	18	70	1		1	8fs							gfb																																																																																							0
Flawed Saphire Stack	0			0					1	gfb							8fs																																																																																							0
Flawed Skull Unstack	0			0	18	70	1		1	8fk							skf																																																																																							0
Flawed Skull Stack	0			0					1	skf							8fk																																																																																							0
Flawed Topaz Unstack	0			0	18	70	1		1	8ft							gfy																																																																																							0
Flawed Topaz Stack	0			0					1	gfy							8ft																																																																																							0
Amethyst Unstack	0			0	18	70	1		1	8na							gsv																																																																																							0
Amethyst Stack	0			0					1	gsv							8na																																																																																							0
Diamond Unstack	0			0	18	70	1		1	8nd							gsw																																																																																							0
Diamond Stack	0			0					1	gsw							8nd																																																																																							0
Emerald Unstack	0			0	18	70	1		1	8ne							gsg																																																																																							0
Emerald Stack	0			0					1	gsg							8ne																																																																																							0
Ruby Unstack	0			0	18	70	1		1	8nr							gsr																																																																																							0
Ruby Stack	0			0					1	gsr							8nr																																																																																							0
Saphire Unstack	0			0	18	70	1		1	8ns							gsb																																																																																							0
Saphire Stack	0			0					1	gsb							8ns																																																																																							0
Skull Unstack	0			0	18	70	1		1	8nk							sku																																																																																							0
Skull Stack	0			0					1	sku							8nk																																																																																							0
Topaz Unstack	0			0	18	70	1		1	8nt							gsy																																																																																							0
Topaz Stack	0			0					1	gsy							8nt																																																																																							0
Flawless Amethyst Unstack	0			0	18	70	1		1	8la							gzv																																																																																							0
Flawless Amethyst Stack	0			0					1	gzv							8la																																																																																							0
Flawless Diamond Unstack	0			0	18	70	1		1	8ld							glw																																																																																							0
