Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	*eol
Act 3 Super Bx	18	22	-4	512	654	972	1024	0	Act 3 Uitem B	2	Potion 2	2																						0
Act 3 Super Cx	18	24	-4	512	654	972	1024	0	Act 3 Uitem C	2	Potion 2	2																						0
Act 4 Super Ax	18	26	-4	512	654	972	1024	0	Act 4 Uitem A	2	Potion 2	2																						0
Act 4 Super Bx	18	29	-4	512	654	972	1024	0	Act 4 Uitem B	2	Potion 2	2																						0
Act 4 Super Cx	18	32	-4	512	654	972	1024	0	Act 4 Uitem B	2	Potion 2	2																						0
Act 5 Super Ax	18	34	-4	512	654	972	1024	0	Act 5 Uitem A	2	Potion 2	2																						0
Act 5 Super Bx	18	36	-4	512	654	972	1024	0	Act 5 Uitem B	2	Potion 2	2																						0
Act 5 Super Cx	18	38	-4	512	654	972	1024	0	Act 5 Uitem C	2	Potion 2	2																						0
Act 1 (N) Super Ax	18	40	-4	512	654	972	1024	0	Act 1 (N) Uitem A	2	Potion 2	2																						0
Act 1 (N) Super Bx	18	41	-4	512	654	972	1024	0	Act 1 (N) Uitem B	2	Potion 2	2																						0
Act 1 (N) Super Cx	18	42	-4	512	654	972	1024	0	Act 1 (N) Uitem C	2	Potion 2	2																						0
Act 2 (N) Super Ax	18	44	-4	512	654	972	1024	0	Act 2 (N) Uitem A	2	Potion 2	2																						0
Act 2 (N) Super Bx	18	45	-4	512	654	972	1024	0	Act 2 (N) Uitem B	2	Potion 2	2																						0
Act 2 (N) Super Cx	18	46	-4	512	654	972	1024	0	Act 2 (N) Uitem C	2	Potion 2	2																						0
Act 3 (N) Super Ax	18	48	-4	512	654	972	1024	0	Act 3 (N) Uitem A	2	Potion 2	2																						0
Act 3 (N) Super Bx	18	50	-4	512	654	972	1024	0	Act 3 (N) Uitem B	2	Potion 2	2																						0
Act 3 (N) Super Cx	18	51	-4	512	654	972	1024	0	Act 3 (N) Uitem C	2	Potion 2	2																						0
Act 4 (N) Super Ax	18	54	-4	512	654	972	1024	0	Act 4 (N) Uitem A	2	Potion 2	2																						0
Act 4 (N) Super Bx	18	57	-4	512	654	972	1024	0	Act 4 (N) Uitem B	2	Potion 2	2																						0
Act 4 (N) Super Cx	18	60	-4	512	654	972	1024	0	Act 4 (N) Uitem B	2	Potion 2	2																						0
Act 5 (N) Super Ax	18	62	-4	512	654	972	1024	0	Act 5 (N) Uitem A	2	Potion 2	2																						0
Act 5 (N) Super Bx	18	63	-4	512	654	972	1024	0	Act 5 (N) Uitem B	2	Potion 2	2																						0
Act 5 (N) Super Cx	18	66	-4	512	654	972	1024	0	Act 5 (N) Uitem C	2	Potion 2	2																						0
Act 1 (H) Super Ax	18	67	-5	512	654	972	1024	0	Act 1 (H) Uitem A	2	Potion 2	2																						0
Act 1 (H) Super Bx	18	67	-5	512	654	972	1024	0	Act 1 (H) Uitem B	2	Potion 2	2																						0
Act 1 (H) Super Cx	18	68	-5	512	654	972	1024	0	Act 1 (H) Uitem C	2	Potion 2	2																						0
Act 2 (H) Super Ax	18	68	-5	512	654	972	1024	0	Act 2 (H) Uitem A	2	Potion 2	2																						0
Act 2 (H) Super Bx	18	69	-5	512	654	972	1024	0	Act 2 (H) Uitem B	2	Potion 2	2																						0
Act 2 (H) Super Cx	18	72	-5	512	654	972	1024	0	Act 2 (H) Uitem C	2	Potion 2	2																						0
Act 3 (H) Super Ax	18	73	-5	512	654	972	1024	0	Act 3 (H) Uitem A	2	Potion 2	2																						0
Act 3 (H) Super Bx	18	75	-5	512	654	972	1024	0	Act 3 (H) Uitem B	2	Potion 2	2																						0
Act 3 (H) Super Cx	18	78	-5	512	654	972	1024	0	Act 3 (H) Uitem C	2	Potion 2	2																						0
Act 4 (H) Super Ax	18	81	-5	512	654	972	1024	0	Act 4 (H) Uitem A	2	Potion 2	2																						0
Act 4 (H) Super Bx	18	84	-5	512	654	972	1024	0	Act 4 (H) Uitem B	2	Potion 2	2																						0
Act 4 (H) Super Cx	18	87	-5	512	654	972	1024	0	Act 4 (H) Uitem B	2	Potion 2	2																						0
Act 5 (H) Super Ax	18	90	-5	512	654	972	1024	0	Act 5 (H) Uitem A	2	Potion 2	2																						0
Act 5 (H) Super Bx	18	93	-5	512	654	972	1024	0	Act 5 (H) Uitem B	2	Potion 2	2																						0
Act 5 (H) Super Cx	18	96	-5	512	654	972	1024	0	Act 5 (H) Uitem C	2	Potion 2	2																						0
Cow King			5	850	983	983	1024	0	Act 1 Uitem C	1	Act 1 Melee B	2																						0
Cow King Desecrated A	33	31	5	850	983	983	1024	0	Act 4 Uitem B	1	Act 4 Melee B	2																						0
Cow King Desecrated B	33	40	5	850	983	983	1024	0	Act 1 (N) Uitem A	1	Act 1 (N) Melee A	2																						0
Cow King Desecrated C	33	48	5	850	983	983	1024	0	Act 3 (N) Uitem A	1	Act 3 (N) Melee A	2																						0
Cow King (N)			5	850	983	983	1024	0	Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2																						0
Cow King (N) Desecrated A	33	67	5	850	983	983	1024	0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2																						0
Cow King (N) Desecrated C	33	73	5	850	983	983	1024	0	Act 3 (H) Uitem C	1	Act 3 (H) Melee B	2																						0
Cow King (H)			5	850	983	983	1024	0	Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2																						0
Cow King Item (H) Desecrated A			5	850	983	983	1024	0	Act 4 (H) Uitem B	1	Act 4 (H) Melee B	2																						0
Cow King Item (H) Desecrated B			5	850	983	983	1024	0	Act 5 (H) Uitem A	1	Act 5 (H) Melee A	2																						0
Cow King Item (H) Desecrated C			5	850	983	983	1024	0	Act 5 (H) Uitem B	1	Act 5 (H) Melee B	2																						0
Cow King Item (H) Desecrated D			5	850	983	983	1024	0	Act 5 (H) Uitem C	1	Act 5 (H) Melee C	2																						0
Cow King (H) Desecrated A	33	86	2					0	CFN Gems	5	Cow King Item (H) Desecrated A	20																						0
Cow King (H) Desecrated B	33	90	2					0	CFN Gems	5	Cow King Item (H) Desecrated B	20																						0
Cow King (H) Desecrated C	33	93	2					0	CFN Gems	5	Cow King Item (H) Desecrated C	20																						0
Cow King (H) Desecrated D	33	96	2					0	CFN Gems	5	Cow King Item (H) Desecrated D	20																						0
Duriel			5					0	Duriel - Base	2																								0
Duriel Desecrated A	34	22	5					0	tsc	1	Duriel - Base Desecrated A	2																						0
Duriel Desecrated B	34	36	5					0	tsc	1	Duriel - Base Desecrated B	2																						0
Duriel Desecrated C	34	48	5					0	tsc	1	Duriel - Base Desecrated C	2																						0
Duriel (N)			5					0	Duriel (N) - Base	2																								0
Duriel (N) Desecrated A	34	55	5					0	tsc	1	Duriel (N) - Base Desecrated A	2																						0
Duriel (N) Desecrated B	34	63	5					0	tsc	1	Duriel (N) - Base Desecrated B	2																						0
Duriel (N) Desecrated C	34	73	5					0	tsc	1	Duriel (N) - Base Desecrated C	2																						0
Duriel (H)			5					0	Duriel (H) - Base	2																								0
Duriel (H) Desecrated Five			5					0	tsc	1	Duriel (H) - Base Desecrated A	2																						0
Duriel (H) Desecrated Town Portal			5					0	tsc	1	Duriel (H) - Base Desecrated B	2																						0
Duriel (H) Desecrated Scrolls			5					0	tsc	1	Duriel (H) - Base Desecrated C	2																						0
Duriel (H) Desecrated Incoming			5					0	tsc	1	Duriel (H) - Base Desecrated D	2																						0
Duriel (H) Desecrated A	34	88	2					0	Sunder Charms	5	Duriel (H) Desecrated Five	20																						0
Duriel (H) Desecrated B	34	90	2					0	Sunder Charms	5	Duriel (H) Desecrated Town Portal	20																						0
Duriel (H) Desecrated C	34	93	2					0	Sunder Charms	5	Duriel (H) Desecrated Scrolls	20																						0
Duriel (H) Desecrated D	34	96	2					0	Sunder Charms	5	Duriel (H) Desecrated Incoming	20																						0
ROP			1	1024				0	Diablo	1																								0
ROP (N)			1	1024				0	Diablo (N)	4	Annihilus	1																						0
ROP (H)			1	1024				0	Annihilus	1																								0
Countess Rune			3					10	Runes 3	20																								0
Countess Rune (N)			3					10	Runes 4	20																								0
Countess Rune (H)			3					10	Runes 5	30																								0
Countess Item			5					1	"gld,mul=1280"	50	Act 1 Equip C	50	Act 2 Good	25																				0
Countess Item Desecrated A			5					19	"gld,mul=1280"	11	Act 2 Equip A	19	Act 3 Good	3																				0
Countess Item Desecrated B			5					19	"gld,mul=1280"	11	Act 5 Equip A	19	Act 1 (N) Good	3																				0
Countess Item Desecrated C			5					19	"gld,mul=1280"	11	Act 3 (N) Equip A	19	Act 4 (N) Good	3																				0
Countess Item (N)			5					1	"gld,mul=1536"	50	Act 1 (N) Equip C	50	Act 2 (N) Good	25																				0
Countess Item (N) Desecrated A			5					19	"gld,mul=1536"	11	Act 2 (N) Equip B	19	Act 3 (N) Good	3																				0
Countess Item (N) Desecrated B			5					19	"gld,mul=1536"	11	Act 4 (N) Equip B	19	Act 5 (N) Good	3																				0
Countess Item (N) Desecrated C			5					19	"gld,mul=1536"	11	Act 3 (H) Equip A	19	Act 4 (H) Good	3																				0
Countess Item (H)			5					1	"gld,mul=2048"	50	Act 1 (H) Equip C	50	Act 2 (H) Good	25																				0
Countess Item (H) Desecrated A			5					19	"gld,mul=2048"	11	Act 4 (H) Equip A	19	Act 4 (H) Good	3	pk1	3																		0
Countess Item (H) Desecrated B			5					19	"gld,mul=2048"	11	Act 4 (H) Equip B	19	Act 4 (H) Good	3	pk1	3																		0
Countess Item (H) Desecrated C			5					19	"gld,mul=2048"	11	Act 4 (H) Equip C	19	Act 4 (H) Good	3	pk1	3																		0
Countess Item (H) Desecrated D			5					19	"gld,mul=2048"	11	Act 5 (H) Equip A	19	Act 5 (H) Good	3	pk1	3																		0
Countess Item (H) Desecrated E			5					19	"gld,mul=2048"	11	Act 5 (H) Equip B	19	Act 5 (H) Good	3	pk1	3																		0
Countess Item (H) Desecrated F			5					19	"gld,mul=2048"	11	Act 5 (H) Equip C	19	Act 5 (H) Good	3	pk1	3																		0
Countess			2	883	883	883	1024		Countess Rune	1	Countess Item	1																						0
Countess Desecrated A	35	11	2	883	883	883	1024	0	Countess Item Desecrated A	1	Countess Rune	1																						0
Countess Desecrated B	35	34	2	883	883	883	1024	0	Countess Item Desecrated B	1	Countess Rune	1																						0
Countess Desecrated C	35	48	2	883	883	883	1024	0	Countess Item Desecrated C	1	Countess Rune	1																						0
Countess (N)			2	883	883	983	1024		Countess Rune (N)	1	Countess Item (N)	1																						0
Countess (N) Desecrated A	35	45	2	883	883	983	1024	0	Countess Item (N) Desecrated A	1	Countess Rune (N)	1																						0
Countess (N) Desecrated B	35	59	2	883	883	983	1024	0	Countess Item (N) Desecrated B	1	Countess Rune (N)	1																						0
Countess (N) Desecrated C	35	73	2	883	883	983	1024	0	Countess Item (N) Desecrated C	1	Countess Rune (N)	1																						0
Countess (H)			2	883	883	983	1024		Countess Rune (H)	1	Countess Item (H)	1																						0
Countess (H) Desecrated A	35	82	3	883	883	983	1024	0	CFN Gems	5	Countess Item (H) Desecrated A	20	Countess Rune (H)	20																				0
Countess (H) Desecrated B	35	84	3	883	883	983	1024	0	CFN Gems	5	Countess Item (H) Desecrated B	20	Countess Rune (H)	20																				0
Countess (H) Desecrated C	35	87	3	883	883	983	1024	0	CFN Gems	5	Countess Item (H) Desecrated C	20	Countess Rune (H)	20																				0
Countess (H) Desecrated D	35	90	3	883	883	983	1024	0	CFN Gems	5	Countess Item (H) Desecrated D	20	Countess Rune (H)	20																				0
Countess (H) Desecrated E	35	93	3	883	883	983	1024	0	CFN Gems	5	Countess Item (H) Desecrated E	20	Countess Rune (H)	20																				0
Countess (H) Desecrated F	35	96	3	883	883	983	1024	0	CFN Gems	5	Countess Item (H) Desecrated F	20	Countess Rune (H)	20																				0
Uber Andariel			1	1024				0	shn	1																								0
Uber Duriel			1	1024				0	sey	1																								0
Uber Izual			1	1024				0	sms	1																								0
Pandemonium Key A			1	1024				0	p1s	1																								0
Pandemonium Key B			1	1024				0	p2s	1																								0
Pandemonium Key C			1	1024				0	p3s	1																								0
Act 1 (H) Champ A Desecrated	36	63	2					0	Sunder Charms	3	Act 1 (H) Champ A	20																						0
Act 1 (H) Champ B Desecrated	36	66	2					0	Sunder Charms	3	Act 1 (H) Champ B	20																						0
Act 1 (H) Champ C Desecrated	36	68	2					0	Sunder Charms	3	Act 1 (H) Champ C	20																						0
Act 2 (H) Champ A Desecrated	36	69	2					0	Sunder Charms	3	Act 2 (H) Champ A	20																						0
Act 2 (H) Champ B Desecrated	36	71	2					0	Sunder Charms	3	Act 2 (H) Champ B	20																						0
Act 2 (H) Champ C Desecrated	36	72	2					0	Sunder Charms	3	Act 2 (H) Champ C	20																						0
Act 3 (H) Champ A Desecrated	36	74	2					0	Sunder Charms	3	Act 3 (H) Champ A	20																						0
Act 3 (H) Champ B Desecrated	36	75	2					0	Sunder Charms	3	Act 3 (H) Champ B	20																						0
Act 3 (H) Champ C Desecrated	36	77	2					0	Sunder Charms	3	Act 3 (H) Champ C	20																						0
Act 4 (H) Champ A Desecrated	36	78	2					0	Sunder Charms	3	Act 4 (H) Champ A	20																						0
Act 4 (H) Champ B Desecrated	36	80	2					0	Sunder Charms	3	Act 4 (H) Champ B	20																						0
Act 5 (H) Champ A Desecrated	36	81	2					0	Sunder Charms	3	Act 5 (H) Champ A	20																						0
Act 5 (H) Champ B Desecrated	36	83	2					0	Sunder Charms	3	Act 5 (H) Champ B	20																						0
Act 5 (H) Champ C Desecrated	36	85	2					0	Sunder Charms	3	Act 5 (H) Champ C	20																						0
Act 1 (H) Unique A Desecrated	37	63	2					0	Gheeds Gambles	4	Act 1 (H) Unique A	20																						0
Act 1 (H) Unique B Desecrated	37	66	2					0	Gheeds Gambles	4	Act 1 (H) Unique B	20																						0
Act 1 (H) Unique C Desecrated	37	68	2					0	Gheeds Gambles	4	Act 1 (H) Unique C	20																						0
Act 2 (H) Unique A Desecrated	37	69	2					0	Gheeds Gambles	4	Act 2 (H) Unique A	20																						0
Act 2 (H) Unique B Desecrated	37	71	2					0	Gheeds Gambles	4	Act 2 (H) Unique B	20																						0
Act 2 (H) Unique C Desecrated	37	72	2					0	Gheeds Gambles	4	Act 2 (H) Unique C	20																						0
Act 3 (H) Unique A Desecrated	37	74	2					0	Gheeds Gambles	4	Act 3 (H) Unique A	20																						0
Act 3 (H) Unique B Desecrated	37	75	2					0	Gheeds Gambles	4	Act 3 (H) Unique B	20																						0
Act 3 (H) Unique C Desecrated	37	77	2					0	Gheeds Gambles	4	Act 3 (H) Unique C	20																						0
Act 4 (H) Unique A Desecrated	37	78	2					0	Gheeds Gambles	4	Act 4 (H) Unique A	20																						0
Act 4 (H) Unique B Desecrated	37	80	2					0	Gheeds Gambles	4	Act 4 (H) Unique B	20																						0
Act 5 (H) Unique A Desecrated	37	81	2					0	Gheeds Gambles	4	Act 5 (H) Unique A	20																						0
Act 5 (H) Unique B Desecrated	37	83	2					0	Gheeds Gambles	4	Act 5 (H) Unique B	20																						0
Act 5 (H) Unique C Desecrated	37	85	2					0	Gheeds Gambles	4	Act 5 (H) Unique C	20																						0
Act 1 (H) Super A Desecrated	38	67	2					0	bau	3	Act 1 (H) Super A	20																						0
Act 1 (H) Super B Desecrated	38	67	2					0	bau	3	Act 1 (H) Super B	20																						0
Act 1 (H) Super C Desecrated	38	68	2					0	bau	3	Act 1 (H) Super C	20																						0
Act 2 (H) Super A Desecrated	38	68	2					0	bau	3	Act 2 (H) Super A	20																						0
Act 2 (H) Super B Desecrated	38	69	2					0	bau	3	Act 2 (H) Super B	20																						0
Act 2 (H) Super C Desecrated	38	72	2					0	bau	3	Act 2 (H) Super C	20																						0
Act 3 (H) Super A Desecrated	38	73	2					0	bau	3	Act 3 (H) Super A	20																						0
Act 3 (H) Super B Desecrated	38	75	2					0	bau	3	Act 3 (H) Super B	20																						0
Act 3 (H) Super C Desecrated	38	78	2					0	bau	3	Act 3 (H) Super C	20																						0
Act 4 (H) Super A Desecrated	38	81	2					0	bau	3	Act 4 (H) Super A	20																						0
Act 4 (H) Super B Desecrated	38	84	2					0	bau	3	Act 4 (H) Super B	20																						0
Act 4 (H) Super C Desecrated	38	87	2					0	bau	3	Act 4 (H) Super C	20																						0
Act 5 (H) Super A Desecrated	38	90	2					0	bau	3	Act 5 (H) Super A	20																						0
Act 5 (H) Super B Desecrated	38	93	2					0	bau	3	Act 5 (H) Super B	20																						0
Act 5 (H) Super C Desecrated	38	96	2					0	bau	3	Act 5 (H) Super C	20																						0
Act 1 (H) Super Ax Desecrated	39	67	2					0	bau	3	Act 1 (H) Super Ax	20																						0
Act 1 (H) Super Bx Desecrated	39	67	2					0	bau	3	Act 1 (H) Super Bx	20																						0
Act 1 (H) Super Cx Desecrated	39	68	2					0	bau	3	Act 1 (H) Super Cx	20																						0
Act 2 (H) Super Ax Desecrated	39	68	2					0	bau	3	Act 2 (H) Super Ax	20																						0
Act 2 (H) Super Bx Desecrated	39	69	2					0	bau	3	Act 2 (H) Super Bx	20																						0
Act 2 (H) Super Cx Desecrated	39	72	2					0	bau	3	Act 2 (H) Super Cx	20																						0
Act 3 (H) Super Ax Desecrated	39	73	2					0	bau	3	Act 3 (H) Super Ax	20																						0
Act 3 (H) Super Bx Desecrated	39	75	2					0	bau	3	Act 3 (H) Super Bx	20																						0
Act 3 (H) Super Cx Desecrated	39	78	2					0	bau	3	Act 3 (H) Super Cx	20																						0
Act 4 (H) Super Ax Desecrated	39	81	2					0	bau	3	Act 4 (H) Super Ax	20																						0
Act 4 (H) Super Bx Desecrated	39	84	2					0	bau	3	Act 4 (H) Super Bx	20																						0
Act 4 (H) Super Cx Desecrated	39	87	2					0	bau	3	Act 4 (H) Super Cx	20																						0
Act 5 (H) Super Ax Desecrated	39	90	2					0	bau	3	Act 5 (H) Super Ax	20																						0
Act 5 (H) Super Bx Desecrated	39	93	2					0	bau	3	Act 5 (H) Super Bx	20																						0
Act 5 (H) Super Cx Desecrated	39	96	2					0	bau	3	Act 5 (H) Super Cx	20																						0
